Addis Ababa,Ethiopia,"ADDIS ABABA BOLE, ET",GHCND:ET000063450,"{'jan': 0.45, 'feb': 1.3, 'mar': 2.05, 'apr': 4.25, 'may': 4.5, 'jun': 6.4, 'jul': 10.85, 'aug': 12.85, 'sep': 9.5, 'oct': 2.7, 'nov': 0.7, 'dec': 0.3}","{'jan': 2.8150000000000004, 'feb': 9.795, 'mar': 18.015, 'apr': 47.735, 'may': 43.490000000000016, 'jun': 49.33000000000002, 'jul': 109.40499999999994, 'aug': 129.39000000000004, 'sep': 108.93999999999998, 'oct': 19.704999999999995, 'nov': 3.015, 'dec': 5.365}"
Libreville,Gabon,"LEON M BA, GB",GHCND:GBM00064500,"{'jan': 8.3, 'feb': 6.95, 'mar': 8.2, 'apr': 7.4, 'may': 7.15, 'jun': 2.35, 'jul': 0.35, 'aug': 1.7, 'sep': 6.75, 'oct': 10.9, 'nov': 12.95, 'dec': 8.45}","{'jan': 198.88999999999996, 'feb': 153.66999999999996, 'mar': 210.465, 'apr': 151.135, 'may': 152.755, 'jun': 31.855, 'jul': 2.745, 'aug': 9.030000000000001, 'sep': 107.59499999999994, 'oct': 265.11000000000007, 'nov': 350.5000000000001, 'dec': 219.00999999999993}"
Port-Gentil,Gabon,"PORT GENTIL, GB",GHCND:GB000004501,"{'jan': 7.2, 'feb': 7.35, 'mar': 8.1, 'apr': 7.25, 'may': 4.1, 'jun': 0.25, 'jul': 0.4, 'aug': 1.1, 'sep': 3.95, 'oct': 9.2, 'nov': 12.6, 'dec': 7.6}","{'jan': 145.71999999999997, 'feb': 145.45499999999996, 'mar': 152.37499999999997, 'apr': 135.14999999999995, 'may': 78.43499999999997, 'jun': 0.99, 'jul': 6.709999999999999, 'aug': 4.314999999999999, 'sep': 32.67999999999999, 'oct': 155.96999999999994, 'nov': 253.60000000000014, 'dec': 150.035}"
Banjul,The Gambia,"BANJUL INTERNATIONAL, GA",GHCND:GAM00061701,"{'jan': 0.1, 'feb': 0.0, 'mar': 0.0, 'apr': 0.0, 'may': 0.25, 'jun': 1.6, 'jul': 6.8, 'aug': 11.05, 'sep': 9.2, 'oct': 2.1, 'nov': 0.15, 'dec': 0.0}","{'jan': 0.2, 'feb': 0.0, 'mar': 0.0, 'apr': 0.0, 'may': 3.2, 'jun': 30.345000000000006, 'jul': 138.54499999999996, 'aug': 251.11499999999992, 'sep': 214.35999999999999, 'oct': 31.580000000000005, 'nov': 1.8399999999999999, 'dec': 0.0}"
Accra,Ghana,"KOFORIDUA, GH",GHCND:GHM00065459,"{'jan': 0.45, 'feb': 1.0, 'mar': 2.4, 'apr': 2.55, 'may': 3.35, 'jun': 4.65, 'jul': 3.35, 'aug': 3.35, 'sep': 4.7, 'oct': 5.15, 'nov': 2.3, 'dec': 1.0}","{'jan': 5.104999999999999, 'feb': 16.68, 'mar': 28.35500000000001, 'apr': 34.394999999999996, 'may': 70.95499999999996, 'jun': 77.56999999999995, 'jul': 31.130000000000013, 'aug': 26.405, 'sep': 66.62999999999997, 'oct': 69.10000000000001, 'nov': 23.319999999999993, 'dec': 31.814999999999998}"
Tamale,Ghana,"TAMALE, GH",GHCND:GHM00065418,"{'jan': 0.0, 'feb': 0.3, 'mar': 0.75, 'apr': 1.3, 'may': 1.85, 'jun': 2.4, 'jul': 2.85, 'aug': 3.65, 'sep': 4.4, 'oct': 2.95, 'nov': 0.15, 'dec': 0.1}","{'jan': 0.0, 'feb': 3.25, 'mar': 8.34, 'apr': 20.615, 'may': 23.89, 'jun': 38.925000000000004, 'jul': 47.73, 'aug': 64.91499999999996, 'sep': 54.96, 'oct': 33.88999999999999, 'nov': 0.505, 'dec': 2.945}"
Kumasi,Ghana,"KUMASI, GH",GHCND:GHM00065442,"{'jan': 0.3, 'feb': 1.0, 'mar': 2.9, 'apr': 2.75, 'may': 3.9, 'jun': 4.3, 'jul': 3.0, 'aug': 2.35, 'sep': 5.0, 'oct': 5.3, 'nov': 1.5, 'dec': 0.9}","{'jan': 5.1850000000000005, 'feb': 38.455, 'mar': 38.045, 'apr': 42.45, 'may': 100.27999999999996, 'jun': 86.8, 'jul': 37.614999999999995, 'aug': 25.340000000000007, 'sep': 80.27999999999996, 'oct': 77.425, 'nov': 13.339999999999998, 'dec': 8.865}"
Conakry,Guinea,"CONAKRY AERO, GV",GHCND:GV000001832,"{'jan': 0.0, 'feb': 0.2, 'mar': 0.25, 'apr': 1.1, 'may': 3.15, 'jun': 9.45, 'jul': 12.55, 'aug': 12.7, 'sep': 8.95, 'oct': 7.3, 'nov': 2.4, 'dec': 0.05}","{'jan': 0.05500000000000001, 'feb': 3.4549999999999996, 'mar': 2.8449999999999998, 'apr': 7.545, 'may': 56.43999999999998, 'jun': 195.78499999999988, 'jul': 564.4999999999998, 'aug': 472.975, 'sep': 247.8400000000003, 'oct': 149.30499999999992, 'nov': 74.18499999999999, 'dec': 0.15}"
Kankan,Guinea,"KANKAN, GV",GHCND:GV000001829,"{'jan': 0.0, 'feb': 0.0, 'mar': 0.0, 'apr': 0.0, 'may': 0.05, 'jun': 0.05, 'jul': 0.05, 'aug': 0.35, 'sep': 0.45, 'oct': 0.25, 'nov': 0.1, 'dec': 0.05}","{'jan': 0.0, 'feb': 0.0, 'mar': 0.0, 'apr': 0.0, 'may': 0.355, 'jun': 0.255, 'jul': 0.255, 'aug': 17.975, 'sep': 9.105, 'oct': 2.495, 'nov': 0.495, 'dec': 0.255}"
Bissau,Guinea-Bissau,"BISSAU OSWALDO VIEIRA INTERNATIONAL, PU",GHCND:PUM00061766,"{'jan': 0.0, 'feb': 0.0, 'mar': 0.0, 'apr': 0.0, 'may': 0.0, 'jun': 0.2, 'jul': 0.65, 'aug': 0.7, 'sep': 0.8, 'oct': 0.8, 'nov': 0.0, 'dec': 0.1}","{'jan': 0.0, 'feb': 0.0, 'mar': 0.0, 'apr': 0.0, 'may': 0.0, 'jun': 4.13, 'jul': 19.985000000000003, 'aug': 22.45, 'sep': 16.145, 'oct': 16.535, 'nov': 0.0, 'dec': 0.2}"
Gagnoa,Ivory Coast,"GAGNOA, IV",GHCND:IV000005557,"{'jan': 0.85, 'feb': 3.85, 'mar': 6.85, 'apr': 6.95, 'may': 6.65, 'jun': 8.15, 'jul': 5.4, 'aug': 5.5, 'sep': 8.7, 'oct': 9.4, 'nov': 5.85, 'dec': 1.85}","{'jan': 12.325, 'feb': 56.42, 'mar': 82.93999999999998, 'apr': 120.26499999999999, 'may': 101.905, 'jun': 103.53499999999994, 'jul': 70.60499999999999, 'aug': 57.40999999999999, 'sep': 97.47499999999998, 'oct': 124.61499999999987, 'nov': 60.289999999999985, 'dec': 28.73}"
Bouaké,Ivory Coast,"BOUAKE, IV",GHCND:IV000005555,"{'jan': 0.0, 'feb': 0.55, 'mar': 1.55, 'apr': 1.95, 'may': 2.1, 'jun': 2.7, 'jul': 2.3, 'aug': 3.1, 'sep': 3.55, 'oct': 3.05, 'nov': 0.9, 'dec': 0.15}","{'jan': 0.0, 'feb': 10.57, 'mar': 21.935, 'apr': 27.73000000000001, 'may': 33.959999999999994, 'jun': 41.63999999999999, 'jul': 25.015, 'aug': 49.32999999999997, 'sep': 49.44, 'oct': 45.55500000000001, 'nov': 9.239999999999998, 'dec': 6.12}"
Abidjan,Ivory Coast,"ABIDJAN FELIX HOUPHOUET BOIGN, IV",GHCND:IVM00065578,"{'jan': 1.0, 'feb': 1.75, 'mar': 4.2, 'apr': 4.9, 'may': 8.35, 'jun': 12.75, 'jul': 6.25, 'aug': 2.9, 'sep': 4.35, 'oct': 8.65, 'nov': 11.25, 'dec': 4.0}","{'jan': 11.849999999999998, 'feb': 24.294999999999998, 'mar': 71.47499999999997, 'apr': 75.65, 'may': 165.86499999999998, 'jun': 350.89000000000027, 'jul': 103.22999999999995, 'aug': 22.45000000000001, 'sep': 46.295, 'oct': 140.785, 'nov': 151.45500000000007, 'dec': 54.835}"
Odienné,Ivory Coast,"ODIENNE, IV",GHCND:IV000065528,"{'jan': 0.2, 'feb': 0.15, 'mar': 0.95, 'apr': 1.2, 'may': 1.4, 'jun': 2.4, 'jul': 4.5, 'aug': 6.0, 'sep': 4.1, 'oct': 2.5, 'nov': 0.3, 'dec': 0.0}","{'jan': 0.9550000000000001, 'feb': 0.835, 'mar': 8.635000000000002, 'apr': 15.170000000000002, 'may': 20.920000000000005, 'jun': 32.365, 'jul': 100.07500000000002, 'aug': 128.375, 'sep': 70.48499999999999, 'oct': 35.584999999999994, 'nov': 5.069999999999999, 'dec': 0.015}"
